KET单词表汇总	
NO.	单词	音标	解释	默写	
124	man	[mæn]	n.男人;人		
125	ambulance	[ˈæmbjələns]	n.救护车		
126	cut	[kʌt]	v.砍;切		
127	bookshop	[ˈbʊkʃɒp]	n.书店		
128	favourite	[ˈfeɪvərɪt]	n.特别喜爱的人(或物) (美favorite)		
129	empty	[ˈempti]	adj.空的		
130	okay	[oʊˈkeɪ]	int. 好，行adj. 可以；对；不错	的；安全的adv. 可以；对；很好地	n. 同意，批准v. 同意，批准		
131	mum	[mʌm]	n.(口语)妈妈		
132	stomach	[ˈstʌmək]	n.腹部；胃		
133	if	[ɪf]	conj. 是否		
134	forget	[fəˈɡet]	忘记		
135	form	[fɔːm]	v.形成，构成		
136	allow	[əˈlaʊ]	v.允许进入（或出去、通过）		
137	mug	[mʌg]	n.大杯		
138	face	[feɪs]	v.面对		
139	yellow	[ˈjeləʊ]	n.黄色		
140	cola	[ˈkəʊlə]	n. 可乐		
141	danger	[ˈdeɪndʒər]	n.危险		
142	cross	[krɒs]	v.横过；越过		
143	pardon	[ˈpɑːdn]	请再说一遍；抱歉		
144	sail	[seɪl]	v. 航行；起航； n. 帆		
145	grandma	[ˈɡrænmɑː]	n.奶奶；外婆(=grandmother)		
146	jumper	[ˈdʒʌmpər]	n.跳跃者		
147	toothache	[ˈtuːθeɪk]	n.牙痛		
第 5 页，共 55 页
148	hair	[heər]	n.头发;毛发		
149	whole	[həʊl]	adj.整个的，全部的		
150	air	[eər]	n.空气		
151	and	[ənd; ən; n; ænd]	conj.和；又；而		
152	food	[fuːd]	n.食物，食品		
153	great	[ɡreɪt]	adj.伟大的；重要的；(口语)好极	了，很好		
154	husband	[ˈhʌzbənd]	n. 丈夫		
155	bedroom	[ˈbedruːm; ˈbedrʊ	m]	卧室		
156	slowly	[ˈsləʊli]	adv.慢慢地，缓慢地		
157	honey	[ˈhʌni]	n.蜂蜜		
158	help	[help]	n. & v.帮助，帮忙		
159	music	[ˈmjuːzɪk]	n.音乐;乐曲		
160	she	[ʃi; ʃiː]	pron她		
161	tidy up		收拾妥，整理好		
162	clock	[klɒk]	n.钟		
163	when	[wen]	conj. 当…的时候		
164	word	[wɜːd]	n.词，单词；话		
